"","Var.1","Var.2","Var.3","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Expected","Expected","Expected","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Per 90 Minutes","Var.26","Var.27","Playing Time","Playing Time","Playing Time","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Penalty Kicks","Penalty Kicks","Penalty Kicks","Penalty Kicks","Var.45","Var.46","Var.47","Goals","Goals","Goals","Goals","Goals","Expected","Expected","Expected","Expected","Launched","Launched","Launched","Passes","Passes","Passes","Passes","Goal Kicks","Goal Kicks","Goal Kicks","Crosses","Crosses","Crosses","Sweeper","Sweeper","Sweeper","Var.73","Var.74","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Standard","Expected","Expected","Expected","Expected","Expected","Var.91","Var.92","Total","Total","Total","Total","Total","Short","Short","Short","Medium","Medium","Medium","Long","Long","Long","Var.107","Var.108","Var.109","Var.110","Var.111","Var.112","Var.113","Var.114","Var.115","Var.116","Var.117","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Pass Types","Corner Kicks","Corner Kicks","Corner Kicks","Height","Height","Height","Body Parts","Body Parts","Body Parts","Body Parts","Body Parts","Outcomes","Outcomes","Outcomes","Outcomes","Outcomes","Var.142","Var.143","SCA","SCA","SCA Types","SCA Types","SCA Types","SCA Types","SCA Types","GCA","GCA","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","GCA Types","Var.159","Var.160","Tackles","Tackles","Tackles","Tackles","Tackles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Vs Dribbles","Pressures","Pressures","Pressures","Pressures","Pressures","Pressures","Blocks","Blocks","Blocks","Blocks","Var.180","Var.181","Var.182","Var.183","Var.184","Var.185","Touches","Touches","Touches","Touches","Touches","Touches","Touches","Dribbles","Dribbles","Dribbles","Dribbles","Dribbles","Carries","Carries","Carries","Receiving","Receiving","Receiving","Var.204","Var.205","Var.206","Var.207","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success (xG)","Team Success (xG)","Team Success (xG)","Team Success (xG)","Var.226","Var.227","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Performance","Aerial Duels","Aerial Duels","Aerial Duels","League"
"25","Amiens","26","46.7","38","418","3,420","30","22","2","3","59","6","0.79","0.58","1.37","0.74","1.32","34.6","32.3","23.1","0.91","0.61","1.52","0.85","1.46","Amiens","1","38","38","3,420","54","1.42","155","109",".690","9","11","18","11","28.9","9","6","2","1","Amiens","1","38.0","54","6","3","8","2","47.3","0.27","-2.7","-0.07","303","813","37.3","827","85","63.2","48.1","322","90.1","62.1","362","24","6.6","21","0.55","14.6","Amiens","26","30","2","3","393","115","21","29.3","10.34","3.03","0.07","0.24","34.6","32.3","0.08","-4.6","-4.3","Amiens","26","12031","16181","74.4","242601","93263","171","511","33.5","8784","10551","83.3","3076","5119","60.1","22","23.1","-1.1","282","977","207","59","1526","Amiens","26","16181","14162","2019","565","20","2690","439","588","138","7","15","4","9815","2235","4131","4139","9525","921","908","179","12031","54","401","268","442","Amiens","26","595","15.66","443","54","31","22","44","52","1.37","39","3","4","2","3","1","Amiens","26","657","454","323","258","76","206","700","29.4","494","6108","1597","26.1","2073","2827","1208","603","146","2","457","393","984","4","Amiens","26","46.7","20580","2138","6623","10194","4907","589","18608","349","577","60.5","385","10","13031","68773","37232","14899","12031","80.8","521","442","Amiens","26","38","3,420","90","100","418","85","106","17","160","1.00","31","52","-21","-0.55","34.6","45.5","-10.9","-0.29","Amiens","26","59","6","3","523","526","67","588","393","454","1","7","2","3577","553","566","49.4","Ligue-1"
"34","Angers","24","43.2","38","418","3,420","42","27","5","10","49","4","1.11","0.71","1.82","0.97","1.68","47.5","39.7","29.0","1.25","0.76","2.01","1.04","1.81","Angers","2","38","38","3,419","49","1.29","160","115",".713","10","16","12","13","34.2","5","3","2","0","Angers","2","38.0","49","3","0","4","1","49.1","0.29","+1.1","+0.03","268","631","42.5","731","179","53.8","43.3","294","81.0","56.1","400","34","8.5","35","0.92","14.9","Angers","24","42","5","10","453","151","19","33.3","11.92","3.97","0.08","0.25","47.5","39.7","0.09","-5.5","-2.7","Angers","24","13020","16742","77.8","252877","98043","162","474","34.2","9857","11503","85.7","3001","4765","63.0","27","29.0","-2.0","335","917","260","59","1511","Angers","24","16742","14910","1832","494","43","2910","396","628","165","18","29","4","11036","2035","3671","4874","9640","813","795","245","13020","44","300","259","408","Angers","24","715","18.82","482","77","47","42","65","68","1.79","46","4","4","6","6","2","Angers","24","665","452","353","237","75","229","803","28.5","574","7461","1866","25.0","2742","3644","1075","592","119","2","473","395","882","5","Angers","24","43.2","21184","2001","6957","10493","5220","734","19391","440","697","63.1","471","15","13911","82365","46828","15420","13020","84.4","476","517","Angers","24","38","3,420","90","100","418","85","110","19","155","1.21","44","49","-5","-0.13","47.5","46.3","+1.2","+0.03","Angers","24","49","4","0","453","455","54","628","395","452","10","4","2","3323","453","408","52.6","Ligue-1"
"44","Bordeaux","33","50.2","38","418","3,420","34","26","5","6","74","5","0.89","0.68","1.58","0.76","1.45","39.3","34.7","27.5","1.03","0.72","1.76","0.91","1.64","Bordeaux","2","38","38","3,420","42","1.11","147","111",".755","10","11","17","10","26.3","7","6","1","0","Bordeaux","2","38.0","42","6","1","11","0","48.3","0.29","+6.3","+0.17","283","634","44.6","866","125","47.0","40.9","319","71.2","53.5","372","17","4.6","25","0.66","14.0","Bordeaux","33","34","5","6","431","133","22","30.9","11.34","3.50","0.07","0.22","39.3","34.7","0.08","-5.3","-5.7","Bordeaux","33","14650","18550","79.0","282828","102206","199","557","35.7","11131","12882","86.4","3320","5111","65.0","26","27.5","-1.5","330","1025","223","65","1516","Bordeaux","33","18550","16628","1922","533","29","3187","533","667","171","39","12","0","12412","2507","3631","4502","11791","850","821","226","14650","46","315","345","462","Bordeaux","33","684","18.00","512","54","48","26","44","55","1.45","40","1","8","4","2","0","Bordeaux","33","704","435","340","290","74","228","732","31.1","504","6759","1758","26.0","2339","3197","1223","544","121","3","423","393","945","11","Bordeaux","33","50.2","23095","2296","7864","11836","5100","647","21238","458","724","63.3","500","20","15702","90899","51130","17387","14650","84.3","496","501","Bordeaux","33","38","3,420","90","100","418","84","110","21","156","1.08","34","42","-8","-0.21","39.3","52.4","-13.2","-0.35","Bordeaux","33","74","5","0","552","501","60","667","393","435","3","7","0","3537","495","519","48.8","Ligue-1"
"54","Caen","27","44.2","38","418","3,420","29","17","4","4","79","6","0.76","0.45","1.21","0.66","1.11","31.4","28.4","19.4","0.83","0.51","1.34","0.75","1.26","Caen","1","38","38","3,420","54","1.42","182","134",".736","7","12","19","9","23.7","8","6","2","0","Caen","1","38.0","54","6","4","5","2","59.1","0.29","+7.1","+0.19","369","825","44.7","907","167","63.1","46.2","315","80.3","58.5","347","36","10.4","21","0.55","14.0","Caen","27","29","4","4","338","92","18","27.2","8.89","2.42","0.07","0.27","31.4","28.4","0.09","-2.4","-3.4","Caen","27","11523","15493","74.4","242482","91076","191","505","37.8","8130","9630","84.4","3202","5358","59.8","17","19.4","-2.4","213","741","150","63","1247","Caen","27","15493","13537","1956","539","17","2688","639","654","125","8","15","3","8973","2159","4361","4170","8880","859","885","264","11523","39","408","255","382","Caen","27","454","11.95","305","60","23","26","40","44","1.16","27","3","3","4","7","0","Caen","27","681","412","372","257","52","239","756","31.6","517","6402","1593","24.9","2489","2898","1015","604","148","4","456","469","1040","6","Caen","27","44.2","20079","2291","7089","10225","3912","532","18179","395","693","57.0","438","18","12435","68307","36363","14201","11521","81.1","509","436","Caen","27","38","3,420","90","100","418","84","113","22","153","0.87","29","54","-25","-0.66","31.4","56.8","-25.4","-0.67","Caen","27","79","6","4","565","506","52","654","469","412","3","7","2","3402","547","585","48.3","Ligue-1"
"64","Dijon","26","47.9","38","418","3,420","29","21","3","4","75","7","0.76","0.55","1.32","0.68","1.24","39.3","36.2","25.4","1.03","0.67","1.70","0.95","1.62","Dijon","2","38","38","3,420","61","1.61","170","113",".659","9","7","22","6","15.8","3","3","0","0","Dijon","2","38.0","61","3","2","7","1","52.6","0.30","-6.4","-0.17","325","717","45.3","968","175","47.5","40.3","329","78.1","56.9","344","41","11.9","30","0.79","15.6","Dijon","26","29","3","4","451","140","24","31.0","11.87","3.68","0.06","0.19","39.3","36.2","0.08","-10.3","-10.2","Dijon","26","13058","16945","77.1","269514","96972","175","518","33.8","9391","10970","85.6","3492","5457","64.0","21","25.4","-4.4","316","1024","280","75","1489","Dijon","26","16945","15080","1865","474","30","2806","537","614","165","16","21","14","10749","2157","4039","4680","9984","776","803","256","13058","51","389","225","433","Dijon","26","674","17.74","466","71","51","42","43","49","1.29","34","3","3","7","1","1","Dijon","26","705","439","353","276","76","202","707","28.6","505","6339","1652","26.1","2082","2929","1328","587","130","8","457","477","875","18","Dijon","26","47.9","21346","2215","7062","10545","5115","728","19554","418","624","67.0","453","12","13935","80783","45172","15969","13058","81.8","495","463","Dijon","26","38","3,420","90","100","418","84","112","19","154","0.89","31","60","-29","-0.76","39.3","59.6","-20.2","-0.53","Dijon","26","75","7","4","581","454","63","614","477","439","1","2","1","3402","540","572","48.6","Ligue-1"
"74","Guingamp","30","44.2","38","418","3,420","28","21","5","6","58","5","0.74","0.55","1.29","0.61","1.16","40.2","35.6","27.3","1.06","0.72","1.78","0.94","1.65","Guingamp","2","38","38","3,420","68","1.79","163","97",".601","5","12","21","10","26.3","6","3","2","1","Guingamp","2","38.0","68","3","2","4","0","52.2","0.31","-15.8","-0.42","291","740","39.3","727","123","64.8","48.7","301","89.4","64.3","299","24","8.0","18","0.47","13.9","Guingamp","30","28","5","6","417","111","17","26.6","10.97","2.92","0.06","0.21","40.2","35.6","0.09","-12.2","-12.6","Guingamp","30","11404","15705","72.6","232206","92339","144","504","28.6","8386","10266","81.7","2874","4935","58.2","21","27.3","-6.3","304","994","225","79","1597","Guingamp","30","15705","13736","1969","485","13","2677","480","812","191","27","16","4","9035","2283","4387","3998","9036","1044","893","197","11404","51","438","301","478","Guingamp","30","633","16.66","446","72","41","31","43","47","1.24","28","7","2","4","6","0","Guingamp","30","743","498","361","304","78","209","604","34.6","395","6895","1825","26.5","2250","3352","1293","631","112","4","519","409","825","7","Guingamp","30","44.2","20152","1950","6396","9528","5501","782","18223","444","729","60.9","494","15","12500","76743","42105","14044","11404","81.2","495","477","Guingamp","30","38","3,420","90","100","418","84","107","21","158","0.71","28","68","-40","-1.05","40.2","48.5","-8.4","-0.22","Guingamp","30","58","5","0","490","466","57","812","409","498","4","6","0","3742","612","629","49.3","Ligue-1"
"84","Lille","25","51.4","38","418","3,420","66","49","11","13","70","4","1.74","1.29","3.03","1.45","2.74","56.8","46.9","37.2","1.49","0.98","2.47","1.23","2.21","Lille","1","38","38","3,420","34","0.89","118","91",".763","22","9","7","15","39.5","10","6","2","2","Lille","1","38.0","34","6","1","4","0","37.2","0.27","+4.2","+0.11","199","593","33.6","825","199","46.3","40.3","270","78.1","59.4","319","37","11.6","24","0.63","14.8","Lille","25","66","11","13","487","182","27","37.4","12.82","4.79","0.11","0.30","56.8","46.9","0.10","+9.2","+8.1","Lille","25","14571","18205","80.0","283908","95780","194","534","36.3","10864","12450","87.3","3513","5221","67.3","49","37.2","+11.8","374","1224","268","74","1608","Lille","25","18205","16298","1907","557","40","2845","449","577","163","17","30","2","12893","2022","3290","5696","10419","678","846","274","14571","35","350","268","434","Lille","25","809","21.29","586","70","63","29","59","122","3.21","79","8","15","5","13","2","Lille","25","641","434","308","264","69","240","665","36.1","425","5904","1596","27.0","1882","2852","1170","580","111","1","469","388","801","7","Lille","25","51.4","22597","2030","6842","11707","5694","780","20759","440","704","62.5","473","21","15576","92859","52637","16985","14571","85.8","502","509","Lille","25","38","3,420","90","100","418","86","112","15","154","1.97","68","33","+35","+0.92","56.8","42.7","+14.1","+0.37","Lille","25","70","4","1","484","522","41","577","388","434","10","10","0","3387","425","443","49.0","Ligue-1"
"94","Lyon","25","60.3","38","418","3,420","70","54","5","10","55","3","1.84","1.42","3.26","1.71","3.13","72.0","64.6","50.7","1.89","1.33","3.23","1.70","3.03","Lyon","2","38","38","3,420","47","1.24","146","107",".712","21","9","8","10","26.3","5","5","0","0","Lyon","2","38.0","47","5","2","3","3","40.8","0.26","-3.2","-0.08","172","383","44.9","903","184","30.9","32.7","262","39.7","40.4","282","17","6.0","19","0.50","15.0","Lyon","25","70","5","10","665","244","48","36.7","17.50","6.42","0.10","0.27","72.0","64.6","0.10","-2.0","+0.4","Lyon","25","19060","22496","84.7","367137","116202","237","619","38.3","14289","15963","89.5","4534","5914","76.7","54","50.7","+3.3","496","1581","381","102","2072","Lyon","25","22496","20720","1776","460","90","3182","609","687","226","30","17","9","17034","2526","2936","6599","13910","690","746","259","19060","86","313","422","450","Lyon","25","1100","28.95","805","81","70","68","76","126","3.32","98","1","9","10","8","0","Lyon","25","591","389","285","230","76","186","520","35.8","334","5866","1645","28.0","1791","2705","1370","551","143","4","408","358","726","6","Lyon","25","60.3","26928","2102","7249","14387","7150","1122","25201","527","803","65.6","568","19","19749","113850","64918","21653","19060","88.0","515","460","Lyon","25","38","3,420","90","100","418","85","108","19","158","1.89","70","47","+23","+0.61","72.0","42.6","+29.4","+0.77","Lyon","25","55","3","2","446","476","95","687","358","389","9","4","4","3372","468","391","54.5","Ligue-1"
"104","Marseille","24","55.2","38","418","3,420","59","45","4","5","82","8","1.55","1.18","2.74","1.45","2.63","51.7","48.0","32.8","1.36","0.86","2.23","1.26","2.13","Marseille","2","38","38","3,416","53","1.40","130","88",".669","18","7","13","12","31.6","12","10","2","0","Marseille","2","38.0","53","10","1","2","0","45.0","0.27","-7.0","-0.18","207","535","38.7","967","168","42.1","38.1","241","53.1","45.9","253","19","7.5","27","0.71","14.2","Marseille","24","59","4","5","532","168","19","31.6","14.00","4.42","0.10","0.33","51.7","48.0","0.09","+7.3","+7.0","Marseille","24","16031","19932","80.4","302991","104493","201","608","33.1","12277","13919","88.2","3553","5405","65.7","45","32.8","+12.2","386","1098","307","118","1665","Marseille","24","19932","17990","1942","503","36","3249","496","833","224","18","32","8","13587","2532","3813","5554","12009","846","886","254","16031","35","379","275","492","Marseille","24","804","21.16","569","105","39","46","45","99","2.61","68","8","6","15","2","0","Marseille","24","728","444","340","300","88","244","755","32.3","511","6462","1860","28.8","2006","3079","1377","537","115","4","422","420","703","12","Marseille","24","55.2","24253","2088","7500","12283","6025","876","22375","418","699","59.8","451","24","16421","89616","51009","18814","16031","85.2","524","427","Marseille","24","38","3,420","90","100","418","85","110","17","156","1.61","60","52","+8","+0.21","51.7","45.5","+6.2","+0.16","Marseille","24","82","8","1","506","459","55","833","420","444","2","11","0","3583","525","498","51.3","Ligue-1"
"114","Monaco","42","49.9","38","418","3,420","38","25","4","5","91","6","1.00","0.66","1.66","0.89","1.55","48.7","44.9","30.9","1.28","0.81","2.09","1.18","1.99","Monaco","3","38","38","3,420","57","1.50","142","92",".634","8","12","18","8","21.1","8","5","3","0","Monaco","3","38.0","57","5","0","7","2","46.1","0.28","-8.9","-0.23","168","430","39.1","741","166","37.4","36.2","255","60.0","47.9","327","24","7.3","11","0.29","13.5","Monaco","42","38","4","5","475","151","25","31.8","12.50","3.97","0.07","0.23","48.7","44.9","0.10","-10.7","-10.9","Monaco","42","14093","17930","78.6","280928","97059","155","519","29.9","10380","12120","85.6","3558","5291","67.2","25","30.9","-5.9","329","1102","283","84","1830","Monaco","42","17930","15936","1994","562","30","3060","537","756","189","36","29","11","11964","2618","3348","5146","10556","750","894","253","14093","51","371","299","494","Monaco","42","721","18.97","511","68","54","49","39","57","1.50","37","3","5","6","6","0","Monaco","42","732","453","374","273","85","234","742","31.5","508","6452","1749","27.1","2092","3006","1354","503","92","1","411","381","837","6","Monaco","42","49.9","22236","1971","6860","11157","5758","785","20300","401","664","60.4","433","19","14877","87595","50093","16786","14093","84.0","500","422","Monaco","42","38","3,420","90","100","418","84","102","21","163","0.95","38","57","-19","-0.50","48.7","48.2","+0.5","+0.01","Monaco","42","91","6","1","536","514","56","756","381","453","5","8","2","3346","470","456","50.8","Ligue-1"
"124","Montpellier","25","48.1","38","418","3,420","50","28","3","3","60","4","1.32","0.74","2.05","1.24","1.97","44.9","42.6","31.7","1.18","0.83","2.01","1.12","1.95","Montpellier","2","38","38","3,420","42","1.11","137","101",".715","15","14","9","12","31.6","5","3","1","1","Montpellier","2","38.0","42","3","1","7","3","41.3","0.28","+2.3","+0.06","344","769","44.7","1020","170","56.6","44.3","278","69.1","52.4","312","22","7.1","26","0.68","15.4","Montpellier","25","50","3","3","499","168","26","33.7","13.13","4.42","0.09","0.28","44.9","42.6","0.09","+5.1","+4.4","Montpellier","25","13580","17663","76.9","279951","105472","179","545","32.8","9762","11487","85.0","3639","5631","64.6","28","31.7","-3.7","371","1092","269","97","1728","Montpellier","25","17663","15734","1929","511","21","3082","661","751","169","25","25","4","10707","2466","4490","4739","10288","931","891","337","13580","50","365","258","485","Montpellier","25","787","20.71","581","79","44","28","53","69","1.82","44","6","2","9","6","2","Montpellier","25","751","424","367","291","93","275","784","35.1","509","6593","1690","25.6","2254","3193","1146","605","117","3","488","479","858","9","Montpellier","25","48.1","22156","2164","7135","10801","5574","741","20272","415","661","62.8","451","14","14072","80058","42624","16302","13580","83.3","481","443","Montpellier","25","38","3,420","90","100","418","86","107","16","156","1.55","53","42","+11","+0.29","44.9","42.3","+2.6","+0.07","Montpellier","25","60","4","1","547","485","59","751","479","424","2","4","2","3588","559","562","49.9","Ligue-1"
"134","Nantes","33","49.9","38","418","3,420","47","28","6","8","72","6","1.24","0.74","1.97","1.08","1.82","47.4","41.3","27.0","1.25","0.71","1.96","1.09","1.80","Nantes","3","38","38","3,420","48","1.26","126","83",".651","13","9","16","8","21.1","8","4","4","0","Nantes","3","38.0","48","4","2","10","1","44.1","0.30","-2.9","-0.08","253","614","41.2","845","159","45.2","39.5","307","75.6","56.3","302","20","6.6","30","0.79","16.7","Nantes","33","47","6","8","521","143","23","27.4","13.71","3.76","0.08","0.29","47.4","41.3","0.08","-0.4","-0.3","Nantes","33","13301","17605","75.6","261997","103218","192","592","32.4","9936","11835","84.0","3173","5178","61.3","28","27.0","+1.0","372","1123","279","97","1771","Nantes","33","17605","15626","1979","506","37","3204","518","730","182","20","11","4","10887","2688","4030","5222","9807","1024","899","253","13301","68","393","337","472","Nantes","33","812","21.37","562","100","37","47","66","71","1.87","49","3","4","8","7","0","Nantes","33","768","481","379","293","96","241","749","32.2","508","6768","1907","28.2","2328","3227","1213","564","117","2","447","414","894","6","Nantes","33","49.9","22183","2139","6908","10424","6187","811","20236","372","586","63.5","404","23","13403","74656","41180","16271","13301","81.7","530","433","Nantes","33","38","3,420","90","100","418","86","112","14","154","1.26","48","48","0","0.00","47.4","46.6","+0.9","+0.02","Nantes","33","72","6","3","503","504","76","730","414","481","7","7","0","3772","497","478","51.0","Ligue-1"
"144","Nice","30","54.8","38","418","3,420","27","18","5","9","72","5","0.71","0.47","1.18","0.58","1.05","42.3","35.5","27.2","1.11","0.72","1.83","0.93","1.65","Nice","2","38","38","3,420","35","0.92","153","122",".791","15","11","12","16","42.1","6","3","3","0","Nice","2","38.0","35","3","0","5","1","45.6","0.28","+11.6","+0.30","171","403","42.4","893","216","25.6","30.4","313","55.6","45.1","395","20","5.1","16","0.42","13.2","Nice","30","27","5","9","447","127","30","28.4","11.76","3.34","0.05","0.17","42.3","35.5","0.08","-15.3","-13.5","Nice","30","17888","21069","84.9","342827","108024","191","512","37.3","13803","15211","90.7","3894","5346","72.8","18","27.2","-9.2","332","1067","172","58","1383","Nice","30","21069","19286","1783","560","31","3262","576","493","170","17","18","9","16187","2030","2852","7215","12182","532","669","259","17888","37","341","313","405","Nice","30","738","19.42","491","74","75","39","57","49","1.29","33","2","2","3","7","2","Nice","30","642","385","336","241","65","226","679","33.3","453","6017","1591","26.4","2135","2715","1167","591","123","5","468","464","802","9","Nice","30","54.8","25614","2603","9176","13101","5039","730","23905","609","993","61.3","663","30","18450","100623","60118","20207","17888","88.5","553","480","Nice","30","38","3,420","90","100","418","85","109","18","157","1.47","30","35","-5","-0.13","42.3","48.2","-5.9","-0.16","Nice","30","72","5","1","428","527","41","493","464","385","7","5","1","3115","354","347","50.5","Ligue-1"
"154","Nîmes","23","45.6","38","418","3,420","55","37","4","6","69","5","1.45","0.97","2.42","1.34","2.32","46.6","42.1","31.3","1.23","0.82","2.05","1.11","1.93","Nîmes","1","38","38","3,420","58","1.53","177","122",".695","15","8","15","10","26.3","5","4","1","0","Nîmes","1","38.0","58","4","0","4","0","60.5","0.32","+2.5","+0.07","248","716","34.6","823","162","57.2","44.9","290","84.5","60.5","289","21","7.3","20","0.53","14.7","Nîmes","23","55","4","6","519","175","25","33.7","13.66","4.61","0.10","0.29","46.6","42.1","0.08","+8.4","+8.9","Nîmes","23","11435","15518","73.7","228644","88474","164","517","31.7","8469","10163","83.3","2802","4838","57.9","37","31.3","+5.7","374","962","229","67","1499","Nîmes","23","15518","13416","2102","535","30","2692","514","737","202","17","29","16","9073","2451","3994","3968","9061","878","981","220","11435","38","414","262","440","Nîmes","23","779","20.50","522","93","72","42","48","88","2.32","48","11","10","8","9","2","Nîmes","23","735","462","398","258","79","264","798","33.1","534","6440","1703","26.4","2180","3080","1180","615","120","2","495","449","892","10","Nîmes","23","45.6","20223","1937","6813","9183","5573","757","18165","447","738","60.6","485","13","12435","76727","44798","14116","11435","81.0","558","457","Nîmes","23","38","3,420","90","100","418","85","111","18","155","1.39","57","58","-1","-0.03","46.6","55.2","-8.6","-0.23","Nîmes","23","69","5","2","494","499","47","737","449","462","3","4","0","3606","511","613","45.5","Ligue-1"
"164","Paris S-G","30","63.4","38","418","3,420","103","72","10","12","64","4","2.71","1.89","4.61","2.45","4.34","90.0","81.0","63.5","2.37","1.67","4.04","2.13","3.80","Paris S-G","2","38","38","3,420","35","0.92","124","98",".758","29","4","5","17","44.7","6","5","1","0","Paris S-G","2","38.0","35","5","1","3","4","37.1","0.26","+6.1","+0.16","113","201","56.2","673","170","18.4","26.3","237","32.5","35.2","275","10","3.6","26","0.68","14.2","Paris S-G","30","103","10","12","558","200","29","35.8","14.68","5.26","0.17","0.47","90.0","81.0","0.15","+13.0","+12.0","Paris S-G","30","21972","25097","87.5","390714","125835","262","614","42.7","17716","19337","91.6","3994","5146","77.6","72","63.5","+8.5","421","1847","496","63","2169","Paris S-G","30","25097","23483","1614","451","180","4053","460","592","234","34","14","3","20258","2525","2314","7889","15619","541","621","243","21972","86","300","367","430","Paris S-G","30","923","24.29","688","67","74","42","49","170","4.47","122","6","14","14","11","3","Paris S-G","30","668","421","286","285","97","251","740","33.9","489","6356","1821","28.7","1802","2962","1592","516","104","2","412","335","553","13","Paris S-G","30","63.4","29132","2001","7287","15788","8116","1276","27591","571","888","64.3","618","26","21812","118350","68484","24425","21972","90.0","432","467","Paris S-G","30","38","3,420","90","100","418","84","109","20","140","2.39","105","35","+70","+1.84","90.0","35.6","+54.5","+1.43","Paris S-G","30","64","4","0","481","446","97","592","335","421","10","5","3","3170","317","257","55.2","Ligue-1"
"174","Reims","27","43.5","38","418","3,420","39","27","2","2","67","2","1.03","0.71","1.74","0.97","1.68","39.7","38.2","27.8","1.05","0.73","1.78","1.01","1.74","Reims","1","38","38","3,420","42","1.11","147","114",".762","13","16","9","14","36.8","7","7","0","0","Reims","1","38.0","42","7","1","3","2","43.5","0.26","+3.5","+0.09","300","714","42.0","843","123","57.2","46.1","287","80.8","58.5","420","33","7.9","15","0.39","13.3","Reims","27","39","2","2","412","136","15","33.0","10.84","3.58","0.09","0.27","39.7","38.2","0.09","-0.7","-1.2","Reims","27","11618","15559","74.7","242203","91481","121","471","25.7","8296","9995","83.0","3201","5093","62.9","27","27.8","-0.8","291","855","230","64","1447","Reims","27","15559","13697","1862","487","30","2470","501","639","164","17","18","11","9576","2402","3581","5765","7556","801","844","190","11618","73","383","269","445","Reims","27","607","15.97","423","62","56","35","31","59","1.55","41","3","9","2","4","0","Reims","27","759","453","437","243","79","251","772","32.5","521","7066","1773","25.1","2548","3131","1387","586","118","2","468","492","966","8","Reims","27","43.5","20086","2286","7747","9172","4522","699","18290","432","673","64.2","465","19","12712","78715","43670","14356","11618","80.9","488","421","Reims","27","38","3,420","90","100","418","85","112","19","154","1.45","39","42","-3","-0.08","39.7","44.5","-4.7","-0.12","Reims","27","67","2","0","535","472","83","639","492","453","2","7","2","3430","472","538","46.7","Ligue-1"
"184","Rennes","28","50.6","38","418","3,420","53","34","7","10","68","3","1.39","0.89","2.29","1.21","2.11","52.8","45.4","32.4","1.39","0.85","2.24","1.19","2.05","Rennes","2","38","38","3,420","52","1.37","152","105",".684","13","13","12","11","28.9","5","4","1","0","Rennes","2","38.0","52","4","0","10","1","44.9","0.28","-6.1","-0.16","238","547","43.5","750","152","46.3","40.2","277","72.2","54.8","365","16","4.4","30","0.79","16.1","Rennes","28","53","7","10","472","148","46","31.4","12.42","3.89","0.10","0.31","52.8","45.4","0.10","+0.2","+0.6","Rennes","28","14207","17791","79.9","285171","96509","198","568","34.9","10340","11825","87.4","3669","5398","68.0","34","32.4","+1.6","326","1045","281","79","1629","Rennes","28","17791","15901","1890","481","37","3052","595","652","190","32","10","6","12177","2255","3359","4093","11571","706","855","225","14207","59","392","286","464","Rennes","28","744","19.58","511","59","64","35","74","86","2.26","51","8","9","8","9","1","Rennes","28","641","378","294","262","85","232","704","33.0","472","6289","1687","26.8","2168","2932","1189","547","122","5","425","377","811","5","Rennes","28","50.6","22210","1996","6917","11285","5553","797","20340","481","786","61.2","511","11","15225","90637","52468","16728","14207","84.9","515","488","Rennes","28","38","3,420","90","100","418","85","105","20","161","1.37","55","52","+3","+0.08","52.8","48.0","+4.7","+0.12","Rennes","28","68","3","2","498","490","60","652","377","378","9","4","1","3340","467","429","52.1","Ligue-1"
"194","Saint-Étienne","29","52.6","38","418","3,420","56","40","5","5","63","7","1.47","1.05","2.53","1.34","2.39","54.8","51.0","35.0","1.44","0.92","2.37","1.34","2.27","Saint-Étienne","2","38","38","3,420","41","1.08","152","119",".776","19","9","10","13","34.2","9","7","1","1","Saint-Étienne","2","38.0","41","7","0","7","1","46.5","0.27","+6.5","+0.17","202","635","31.8","895","161","48.7","39.9","314","63.4","48.1","304","21","6.9","15","0.39","13.5","Saint-Étienne","29","56","5","5","499","162","18","32.5","13.13","4.26","0.10","0.31","54.8","51.0","0.11","+1.2","0.0","Saint-Étienne","29","15174","19136","79.3","300915","102927","200","579","34.5","11211","12848","87.3","3763","5709","65.9","40","35.0","+5.0","353","1055","285","91","1605","Saint-Étienne","29","19136","17171","1965","504","40","3147","560","773","218","26","32","10","12980","2623","3533","4900","12061","751","850","233","15174","61","368","274","484","Saint-Étienne","29","733","19.29","511","75","49","54","41","91","2.39","55","12","3","9","9","3","Saint-Étienne","29","669","427","317","267","85","210","709","29.6","499","5978","1586","26.5","2004","2790","1184","517","95","2","422","432","826","12","Saint-Étienne","29","52.6","23434","2201","7904","11548","5430","858","21515","382","620","61.6","407","13","15841","86772","48128","17916","15174","84.7","455","434","Saint-Étienne","29","38","3,420","90","100","418","85","113","18","151","1.74","59","41","+18","+0.47","54.8","50.1","+4.8","+0.13","Saint-Étienne","29","63","7","4","462","457","63","773","432","427","4","9","1","3471","458","466","49.6","Ligue-1"
