"First","Last","Player","Season","Team","Games","Minutes","Pos","NumChains/96","TeamChain%","ChainShot%","PlayerShot%","PlayerKP%","xB/96","xGChain/96","xB%","xB% (0)","Comp ($K)"
"Russell","Teibert","Russell Teibert",2020,"VAN",2,195,"CM",28.0615384615385,0.177604673807205,0.105263157894737,0,0,0.74158061072182,0.74158061072182,1,NA,NA
"Eloi","Amagat","Eloi Amagat",2018,"NYC",8,456,"CM",41.2631578947368,0.251221661459585,0.178571428571429,0.0255102040816327,0.0408163265306122,0.739521686566469,0.851827145350826,0.868159333266958,0.776135585363975,261.25
"Tomas","Martinez","Tomas Martinez",2020,"HOU",2,129,"CM",34.9767441860465,0.202177712058072,0.276595744680851,0,0.0212765957446809,0.739411786536461,0.769644998446222,0.960717977806915,0.950216095230403,NA
"Luciano","Acosta","Luciano Acosta",2018,"DCU",33,2920,"CAM",29.6219178082192,0.200230087601645,0.250832408435072,0.0654827968923418,0.0665926748057714,0.738850974271602,1.00495938019539,0.735204814077109,0.73627937600631,652
"Marco","Donadel","Marco Donadel",2018,"MTL",2,106,"CB",43.4716981132075,0.362264150943396,0.25,0.0416666666666667,0,0.733267975636868,0.822279927527608,0.891749817901579,1,305.328
"Alexander","Ring","Alexander Ring",2018,"NYC",30,2775,"CM",39.7837837837838,0.226774370798692,0.18,0.0252173913043478,0.0156521739130435,0.732225506082186,0.792712717478195,0.92369592405628,0.906853046439517,591.66667
"Michael","Barrios","Michael Barrios",2020,"FCD",2,194,"Wing",18.3092783505155,0.108983799705449,0.405405405405405,0.0810810810810811,0.216216216216216,0.73001324832317,0.956838182727468,0.762943266166769,0.746016301930534,NA
"Andrew","Carleton","Andrew Carleton",2018,"ATL",7,183,"Wing",20.983606557377,0.212569096818581,0.325,0.125,0.075,0.729277155210445,0.809995723132727,0.900346920832994,0.806409006197098,87.4
"Anton","Nedyalkov","Anton Nedyalkov",2018,"FCD",9,826,"FB/WB",31.0314769975787,0.195576535699025,0.187265917602996,0.0224719101123595,0.0112359550561798,0.728601219069822,0.750926980774945,0.970269064400797,1,192.5
"Donny","Toia","Donny Toia",2020,"RSL",2,189,"FB/WB",29.4603174603175,0.219853115375503,0.137931034482759,0.0172413793103448,0,0.726394632701978,0.742926739847058,0.977747325195909,1,NA
"Sebastian","Lletget","Sebastian Lletget",2018,"LAG",28,1994,"CAM",33.8455366098295,0.247176584526663,0.200568990042674,0.0412517780938834,0.0412517780938834,0.726289379047747,0.910508606591262,0.797674369896195,0.863877419400217,252.66667
"Carlos","Vela","Carlos Vela",2018,"LAFC",28,2564,"Wing",28.1934477379095,0.18742083016654,0.349269588313413,0.124833997343958,0.102257636122178,0.723475578046502,1.31447536532793,0.550391127235781,0.509745546051043,6292.5
"Jacori","Hayes","Jacori Hayes",2018,"FCD",16,1088,"CDM",30.1764705882353,0.224882873503384,0.239766081871345,0.0233918128654971,0.0467836257309941,0.720780082181802,0.851763015229033,0.846221389394314,0.9231836970403,75.75004
"Miguel","Ibarra","Miguel Ibarra",2020,"SEA",2,136,"Wing",20.4705882352941,0.119711042311662,0.413793103448276,0.172413793103448,0,0.720436853832551,1.62124231739025,0.444373334019713,0.296527641540846,NA
"Jordan","Harvey","Jordan Harvey",2018,"LAFC",29,2314,"FB/WB",29.8703543647364,0.215966162198294,0.195833333333333,0.00972222222222222,0.0180555555555556,0.719633660327615,0.752430862853359,0.956411672959067,0.946689807581981,150
"Pablo","Ruiz","Pablo Ruiz",2018,"RSL",12,576,"FB/WB",35.6666666666667,0.279191128506197,0.238317757009346,0.0607476635514019,0.0280373831775701,0.718919354448531,0.840326987988741,0.855523343560832,0.893160740731211,201
"Matt","Besler","Matt Besler",2018,"SKC",31,2959,"CB",36.0446096654275,0.223566006328182,0.171017101710171,0.0009000900090009,0.0099009900990099,0.7188858146576,0.741121230345921,0.969997599882623,0.992622702565298,783.25
"Romario","Williams","Romario Williams",2018,"ATL",16,296,"F",17.8378378378378,0.194285504020017,0.327272727272727,0.127272727272727,0.0363636363636364,0.715302983076567,1.16060716912772,0.616317908508328,0.714275327572752,71.5
"Kyle","Duncan","Kyle Duncan",2018,"NYRB",4,383,"FB/WB",28.3237597911227,0.14268896620213,0.15929203539823,0.00884955752212389,0.0353982300884956,0.715047855582009,0.774091978849089,0.923724667248373,0.856982525646399,54.50004
"Chris","Wondolowski","Chris Wondolowski",2020,"SJE",2,60,"F",14.4,0.16551724137931,0.333333333333333,0,0,0.714453397559606,0.714453397559606,1,NA,NA
"Auro","Auro","Auro",2020,"TOR",2,195,"FB/WB",25.6,0.149707602339181,0.211538461538462,0,0,0.714433987179331,0.714433987179331,1,1,NA
"Marcelo","Silva","Marcelo Silva",2020,"RSL",2,189,"CB",28.952380952381,0.216062544420753,0.105263157894737,0.0350877192982456,0,0.713878162633317,0.777952588591776,0.917637106813354,1,NA
"Julian","Gressel","Julian Gressel",2018,"ATL",33,3149,"FB/WB",29.0530327087964,0.189626202411053,0.252885624344176,0.0671563483735572,0.0587618048268625,0.713084680903304,0.985415769586364,0.723638389918021,0.68872660137515,111.25
"Sean","Davis","Sean Davis",2018,"NYRB",32,2736,"CDM",32.140350877193,0.186354634547957,0.172489082969432,0.00873362445414847,0.0458515283842795,0.711849588350277,0.868082545979375,0.820025228761125,0.853091312601271,261.66667
"Chris","McCann","Chris McCann",2018,"ATL",22,1947,"FB/WB",30.9645608628659,0.205620386049819,0.199044585987261,0.0159235668789809,0.0222929936305732,0.709301412949459,0.840067666578872,0.844338427924561,0.747263308293862,588
"Jay","Chapman","Jay Chapman",2018,"TOR",22,1056,"CM",29.5454545454545,0.26369168356998,0.227692307692308,0.0769230769230769,0.0461538461538462,0.709287629330457,1.02923053324869,0.68914359457608,0.714834444864305,117.5
"Kellyn","Acosta","Kellyn Acosta",2020,"COL",2,192,"CDM",22.5,0.129310344827586,0.377777777777778,0.0666666666666667,0,0.707641312307512,0.809906109908929,0.873732527326018,0.86068084280991,NA
"Jesus","Medina","Jesus Medina",2018,"NYC",28,2124,"Wing",25.6723163841808,0.168817486791231,0.272887323943662,0.0809859154929577,0.0528169014084507,0.707304617758715,1.14754247729652,0.616364650330894,0.525449771202096,770.83337
"Jeff","Larentowicz","Jeff Larentowicz",2018,"ATL",34,2958,"CDM",27.6511156186613,0.186868998416713,0.183098591549296,0.028169014084507,0.00821596244131455,0.702071846174631,0.809663789405681,0.867115283357273,0.916906541550187,210
"Anton","Tinnerholm","Anton Tinnerholm",2018,"NYC",31,2870,"FB/WB",35.4898954703833,0.200106722368476,0.202639019792648,0.0339302544769086,0.0320452403393025,0.701827725171273,0.818533689537168,0.85742069525338,0.887329374913375,434.92504
"Steven","Beitashour","Steven Beitashour",2018,"LAFC",30,2821,"FB/WB",33.1116625310174,0.21045548218867,0.194244604316547,0.0092497430626927,0.0226104830421377,0.700085608561036,0.84266782891581,0.830796649092179,0.740513217346294,298.37504
"Ronald","Matarrita","Ronald Matarrita",2018,"NYC",24,1470,"FB/WB",34.9387755102041,0.245687258202431,0.220560747663551,0.0448598130841121,0.0411214953271028,0.698413147444618,0.913379583029294,0.764647207383679,0.703257649761719,395.00004
"Wyatt","Omsberg","Wyatt Omsberg",2018,"MIN",7,426,"CB",23.6619718309859,0.173802521318889,0.123809523809524,0,0,0.69748940452463,0.69748940452463,1,1,54.50004
"Marc","Burch","Marc Burch",2018,"MIN",6,442,"FB/WB",29.5384615384615,0.183278975419617,0.132352941176471,0,0.0220588235294118,0.695815358751668,0.721868828290239,0.963908305058303,1,140.004
"Collen","Warner","Collen Warner",2018,"MIN",17,1325,"CM",27.5320754716981,0.18918564390415,0.163157894736842,0.0105263157894737,0.0157894736842105,0.694994225316429,0.73320840117562,0.94788088107294,0.919104028532184,251.004
"Keegan","Rosenberry","Keegan Rosenberry",2018,"PHI",32,2946,"FB/WB",34.8350305498982,0.226615364423001,0.17867165575304,0.0271281571562208,0.0224508886810103,0.69361541871977,0.744070293233957,0.932190715080299,0.931378218455881,120.7625
"Auro","Auro","Auro",2018,"TOR",18,1516,"FB/WB",37.4881266490765,0.23405698220027,0.195945945945946,0.0202702702702703,0.0236486486486486,0.68770743670085,0.925067156974557,0.743413525727154,0.670748806911619,272.504
"Milton","Valenzuela","Milton Valenzuela",2018,"CLB",30,2704,"FB/WB",32.0236686390533,0.221975521989741,0.202882483370288,0.0188470066518847,0.0388026607538803,0.681474229650676,0.793413951807172,0.858913847051051,0.94836593309401,313.3
"Diego","Rossi","Diego Rossi",2018,"LAFC",32,2765,"Wing",24.130198915009,0.158588286153274,0.349640287769784,0.125179856115108,0.0575539568345324,0.678789619810979,1.12985923981197,0.600773614883164,0.642442392643943,1052.00008
"Maikel","van der Werff","Maikel van der Werff",2020,"CIN",2,194,"CB",34.639175257732,0.188256387270282,0.128571428571429,0,0,0.678315719038426,0.678315719038426,1,NA,NA
"Wayne","Rooney","Wayne Rooney",2018,"DCU",20,1750,"F",28.0868571428571,0.19593203448104,0.3125,0.134765625,0.076171875,0.678007747180511,1.19135333658499,0.569107187901131,0.566482280980077,2776.73088
"Janio","Bikel","Janio Bikel",2020,"VAN",1,99,"FB/WB",25.2121212121212,0.172685761726858,0.192307692307692,0,0,0.677334591900979,0.677334591900979,1,1,NA
"Eduard","Atuesta","Eduard Atuesta",2018,"LAFC",25,1628,"CM",35.4398034398034,0.237214213117828,0.202995008319468,0.0316139767054908,0.0249584026622296,0.676945826655494,0.797464673985642,0.848872493965397,0.806171290151692,468
"Bacary","Sagna","Bacary Sagna",2018,"MTL",9,859,"FB/WB",35.8742724097788,0.214959022428768,0.183800623052959,0.0280373831775701,0.0342679127725857,0.676482884187961,0.761765459213106,0.888046151221872,0.97624013064844,525
"Saphir","Taider","Saphir Taider",2018,"MTL",33,3016,"CM",35.4588859416446,0.228454360811064,0.230700179533214,0.0718132854578097,0.0610412926391382,0.675511407422469,0.906222494713366,0.74541452166902,0.758117761989265,800.00004
"Henry","Kessler","Henry Kessler",2020,"NER",2,193,"CB",20.3937823834197,0.109643991308708,0.146341463414634,0,0,0.675398829903983,0.675398829903983,1,1,NA
"Sunny","Sunny","Sunny",2018,"RSL",23,1536,"CM",33.9375,0.24453712406015,0.187845303867403,0.0147329650092081,0.0165745856353591,0.674590438600234,0.732881806072535,0.920462799063493,0.865755245564465,130
"Josh","Williams","Josh Williams",2018,"CLB",21,1588,"CB",33.1889168765743,0.243015081732239,0.178506375227687,0.0145719489981785,0.00546448087431694,0.674555825590227,0.755941011984522,0.892339236654669,0.859388733764538,200.00004
"Robbie","Robinson","Robbie Robinson",2020,"MIA",2,148,"F",18.8108108108108,0.111306572845034,0.379310344827586,0.137931034482759,0.0689655172413793,0.674149450220397,1.47353994663908,0.457503342042427,0.707240286285399,NA
"Drew","Moor","Drew Moor",2018,"TOR",8,607,"CB",42.0691927512356,0.247465839713151,0.161654135338346,0.0037593984962406,0,0.673796108746168,0.724834625058416,0.929585984791862,0.589150286782303,350.004
"Omar","Gaber","Omar Gaber",2018,"LAFC",7,287,"FB/WB",31.4425087108014,0.271725383920506,0.265957446808511,0.0212765957446809,0.074468085106383,0.671353290482814,0.914873043462427,0.733821261081222,0.78367013870154,500.00004
"Jackson","Yueill","Jackson Yueill",2020,"SJE",2,194,"CM",40.5773195876289,0.233202986135798,0.182926829268293,0,0,0.670504882707829,0.670504882707829,1,1,NA
"Matthew","Real","Matthew Real",2018,"PHI",3,246,"FB/WB",28.8780487804878,0.155258326776816,0.216216216216216,0,0.0405405405405405,0.670108785946802,0.724322319055185,0.925152750809751,1,NA
"Aaron","Kovar","Aaron Kovar",2018,"LAFC",11,557,"Wing",26.5421903052065,0.198885622177978,0.285714285714286,0.103896103896104,0.038961038961039,0.670003430042485,1.07895245695243,0.620975860173627,0.812636383946137,69.6575
"Darwin","Quintero","Darwin Quintero",2018,"MIN",27,2564,"CAM",26.0967238689548,0.162203394213117,0.296987087517934,0.106169296987088,0.109038737446198,0.669890496611155,1.14299066623991,0.586085710406446,0.506103869249231,1650
"Ismael","Tajouri","Ismael Tajouri",2018,"NYC",27,1642,"Wing",28.9403166869671,0.196279465096235,0.286868686868687,0.0727272727272727,0.0747474747474747,0.669686030325134,1.08706990975288,0.616046883753202,0.64316583018318,350.50004
"Mac","Steeves","Mac Steeves",2018,"HOU",3,38,"sub",22.7368421052632,0.265410608232644,0.555555555555556,0.222222222222222,0.111111111111111,0.669570829435792,2.45915297646573,0.272277014014025,NA,54.50004
